Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
BASTAR,MAHESH KASHYAP,KAWASI LAKHMA, BJP,NDA,1004596,2799,1007395,55245
FAIZABAD,AWADHESH PRASAD,LALLU SINGH, SP,I.N.D.I.A.,1139094,1567,1140661,54567
JALAUN,NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA, SP,I.N.D.I.A.,1126966,1983,1128949,53898
KALLAKURICHI,MALAIYARASAN D,KUMARAGURU R, DMK,I.N.D.I.A.,1242562,7006,1249568,53784
MUMBAISOUTHCENTRAL,ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE, SHSUBT,I.N.D.I.A.,790338,4186,794524,53384
MUMBAISOUTH,ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV, SHSUBT,I.N.D.I.A.,769223,3890,773113,52673
MORENA,SHIVMANGAL SINGH TOMAR,NEETU SATYAPAL SINGH SIKARWAR, BJP,NDA,1183586,3745,1187331,52530
BHARATPUR,SANJNA JATAV,RAMSWAROOP KOLI, INC,I.N.D.I.A.,1116850,16150,1133000,51983
KOKRAJHAR,JOYANTA BASUMATARY,KAMPA BORGOYARI, UPPL,OTHER,1229546,11950,1241496,51583
SITAMARHI,DEVESH CHANDRA THAKUR,ARJUN RAY, JD(U),NDA,1091836,2156,1093992,51356
NAGALAND,S SUPONGMEREN JAMIR,DR CHUMBEN MURRY, INC,I.N.D.I.A.,757154,3642,760796,50984
ARAKU(ST),GUMMA THANUJA RANI,KOTHAPALLI GEETHA, YSRCP,OTHER,1143013,21432,1164445,50580
SHIRDI,BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN, SHSUBT,I.N.D.I.A.,1057328,2536,1059864,50529
ONGOLE,MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD, TDP,NDA,1401174,21040,1422214,50199
SECUNDERABAD,G. KISHAN REDDY,DANAM NAGENDER, BJP,NDA,1039041,8618,1047659,49944
